# Chataigne 简体中文 / English translation table
# Format: 中文<TAB>English
# Keep English source text stable; user-created names and project data are not part of this file.
文件	File
大于 0 时，只有从有效状态变为无效状态后持续无效达到此时长，条件才会失效	If greater than 0, the conditions will be invalidated only if they remain invalid for this amount of time, when coming from a valid state
大于 0 时，只有从无效状态变为有效状态后持续有效达到此时长，条件才会生效	If greater than 0, the conditions will be validated only if they remain valid for this amount of time, when coming from an invalid state
处于随机模式时，确保值始终不同于上一个值。	If in random mode, this will ensure that the value is always different from the previous one.
存在多个结果时，每次结果触发之间的延迟	If multiple consequences are there, delay between each consequence trigger
如果当前不是只读，将强制禁止从仪表板编辑	If not already read-only, this will force not being able to edit it from the dashboard
如果不为空，将覆盖此控件的说明	If not empty, will override the description of this control
如果不为空，将覆盖此控件的标签	If not empty, will override the label of this control
如果设置，录制保存后会自动将 Arm 参数设为关闭	If set, the arm parameter will be automatically set to off when a record has been saved
如果设置，序列播放时开始录制；序列停止或跳转时录制也会停止	If set, when a sequence will play, this will start recording. In any case, when a sequence is stopped or seeked, the recording stops as well
如果使用交错，该参数会显示交错进度	If stagger is used, this animates the progression of the stagger
如果为 true，输入值变化时会触发处理	If true, the input will trigger the process when its value changes
如果未勾选，实例化此模板命令时参数不可编辑	If unchecked, this parameter will not be editable when instantiating this template command
使用身份验证时，决定是否使用 TLS	If using authentication, this decides if using TLS or not
使用身份验证时，用于身份验证的密码	If using authentication, this is the password to use for the authentication
使用身份验证时，用于身份验证的用户名	If using authentication, this is the username to use for the authentication
按钮图像	Image for the button
要放入背景的图像	Image to put in the background
片段索引，0 表示第一个片段	Index of the clip, 0 is first clip
轨道中设备的索引，0 表示第一个设备	Index of the device in the track, 0 is first device
场景索引，0 表示第一个场景	Index of the scene, 0 is first scene
侧边图标的索引	Index of the side icon
目标轨道索引，0 表示第一条轨道	Index of the target track, 0 is first track
选中的输入	Input selected
用于录制的输入值	Input value used for recording
插值模式，设置插值方式	Interpolation mode, sets how interpolation is done
插值到下一个关键帧	Interpolation to the next key
音符开始和结束之间的间隔	Interval between the note on and note off
是否已连接到服务器的 WebSocket	Is Connected to server's websocket
音频输入中当前是否检测到 LTC？	Is LTC currently detected in audio input ?
Live 当前是否正在播放	Is Live playing right now
是否已连接 MQTT？	Is MQTT Connected ?
MTC 当前是否正在播放？	Is MTC currently playing ?
是否已连接 Stream Deck？	Is a streamdeck connected ?
是否按下 Alt？	Is alt down ?
是否已连接 Ajazz AKP？	Is an Ajazz AKP connected ?
是否按下 Command？	Is command down ?
是否按下额外按钮 1？	Is extra button 1 down ?
是否按下额外按钮 2？	Is extra button 2 down ?
是否按下左键？	Is left button down ?
是否按下中键？	Is middle button down ?
是否按下右键？	Is right button down ?
是否按下 Shift？	Is shift down ?
模块是否已连接到 PosiStageNet 多播组	Is the module connected to the PosiStageNet multicast group
投影机快门是否打开	Is the projector's shutter on
录音机当前是否正在录制，还是在吃意大利面	Is the recorder currently recording or eating pasta
套接字是否已成功绑定并监听	Is the socket sucessfully bound and listening
此模块是否已在本地安装？	Is this module installed locally ?
此模块是否已在线注册？	Is this module registered online ?
是否正在跟踪此人员	Is this person tracked
此投影机是否已连接	Is this projector connected
检测不到活动时保留上次检测到的值。	Keep last detected values when no activity detected.
滞后频率（Hz）	Lag frequency in Hz
灯泡更换型号	Lamp replacement model number
MultiClip 的最后一个片段	Last Clip of the MultiClip
最后一个 DMX 通道（包含该通道）	Last DMX Channel (inclusive)
最后按下的按键代码	Last Key code pressed
最后按下的按键	Last Key pressed
最后播放的通道	Last played channel
最后播放的音高	Last played pitch
最后播放的力度	Last played velocity
左手 X	Left hand X
左手 Y	Left hand Y
渐变长度	Length of the gradient
此参数动画的长度	Length of this parameter animation
要绑定的本地端口	Local Port to bind
用于接收 OSC 消息的本地绑定端口	Local Port to bind to receive OSC Messages
用于应用全局控制的本地连接端口	Local port to connect to for global control over the application
无限循环播放	Loop indefinitely the playback
到达最后一个片段时循环	Loop when reached last clip
用于向外部系统发送和/或接收 MTC 以同步序列的 MIDI 设备。	MIDI Devices to send and/or receive MTC to sync the sequence with external systems.
格式为 FF:FF:FF:FF:FF:FF 的 MAC 地址	Mac address in the format FF:FF:FF:FF:FF:FF
IP 对应的 MAC 地址	Mac address of the IP
最多保留的小数位数	Maximum number of decimals
最小截止值	Minimum cutoff
吸引力模式	Mode for attraction
Loupedeck 型号	Model of the Loupedeck
MotionPlus 是否已连接？	MotionPlus is connected ?
作为输入的多路复用列表	Multiplex list to be the input
参数的参数名	Name for the argument
操作系统名称	Name of the OS
当前月份的名称	Name of the current month
星期几的名称	Name of the day in the week
服务器名称	Name of the server
变换菜单中的目标参数名称	Name of the target parameter in the transform menu
输出的新最大值	New maximum for output
输出的新最小值	New minimum for output
从 C 到 B 的音符	Note from C to B
要发送的字节数	Number of bytes to send
已连接客户端数量	Number of connected clients
已连接对等端数量	Number of connected peers
Wiimote 检测到的红外源数量	Number of detected Infrared sources by the wiimote
检测到的人员数量	Number of detected persons
要控制的投影机数量	Number of projectors to control
要使用的插槽数量	Number of slots to use
CC 编号（0-127）	Number of the CC (0-127)
要设置的 GPIO 编号	Number of the GPIO to set
月份编号（1 = 一月，12 = 十二月）	Number of the month (1 = January, 12 = December)
分布的值数量	Number of values spreaded
用于平滑的值数量	Number of values to use for smoothing
Nunchuck 是否已连接？	Nunchuck is connected ?
OSC 接收端口	OSC Receive Port
音符的八度	Octave for the note
Perlin 噪声的八度参数	Octave parameter for perlin noise
Perlin 噪声的偏移	Offset of the perlin
仅当宇宙中的某个通道发生变化时才发送该宇宙	Only send a universe if one of its channels has changed
仅当变化量大于抖动阈值时才发送加速度/方向/摇杆变化。	Only send accel/orentiation/stick changes if the delta is greater than the jitter threshold.
Voronoi 图的透明度	Opacity of the Voronoi Diagram
用于合并输入值的运算符	Operator to merge the input values to
重映射后的输出颜色	Out color from remap
作为输入的参数	Parameter to be the input
PJLink 密码；如果投影机未设置密码，请留空	Password for the PJLink, leave empty if no pass set up on the Projector
此仪表板 Web 客户端的密码；留空表示公开访问	Password for web clients for this specific dashboard, leave empty public access
Web 客户端访问仪表板的密码；留空表示公开访问	Password for web clients to access the dashboard, leave empty public access
脚本文件路径	Path to the script file
服务器路径，即 ip:port/path，不包含 ws:// 或 wss://	Path to the server, meaning ip:port/path WITHOUT ws:// or wss://
要在源数据中查找的模式	Pattern to look for in the source
类型为音符时表示音高，类型为控制变化时表示编号	Pitch if type is a note, number if it is a controlChange
Wiimote 的音高	Pitch of the wiimote
播放模式	Play mode
投影机端口	Port of the projector
远程主机监听的端口	Port on which the remote host is listening to
用于监听输入数据的绑定端口	Port to bind to listen to incoming data
通信端口。PosiStageNet 默认值为 56565	Port to communicate. PosiStageNet default is 56565
要发送到的端口	Port to send to
渐变中的位置	Position in the gradient
实际值前要添加的前缀	Prefix to put before the actual value
投影机产品名称	Product name of the projector
预设插值的进度	Progression of the preset interpolation
随机选择第一个到最后一个片段之间的片段	Random between first and last clip
加速度计的原始值	Raw values of accelerometer
参数的参考值	Reference for parameter 
触发后节拍器保持有效的相对时间（取决于频率）	Relative amount of time the metronome stays valid (depending on the frequency) when triggered
要发送到的远程主机。	Remote Host to send to.
请求方法	Request Method
请求发送就绪	Request To Send
信号分辨率	Resolution of the signal
推荐分辨率	Resolution recommended
Wiimote 的滚转角	Roll of the wiimote
圆角	Rounded corners
路由地址	Route Address
按钮所在行	Row of the button
选择设备 ID，取决于连接了多少个 Wiimote（最多 4 个）	Select the ID of the device, depending on how many wiimotes are connected (max 4)
选择要控制的实体设备	Select the physical device to control
发送前先发送 Stop，然后发送时间，最后播放	Sends a Stop before, then time and then play
客户端发送 LISTEN 命令时，使用当前可控值发送反馈	Sends feedback with the current controllable value when a client sends a LISTEN command
旋钮相对计算的灵敏度	Sensitivity for the relative computing of the knobs
要连接的串口	Serial Port to connect
设置迷你模式	Set the mini mode
设置 Wiimote 方向算法的方向平滑	Set the orientation smoothing for the wiimote orientation algorithm
设置控制台背光亮度	Sets the brightness of the deck's backlight
设置控制台背光亮度	Sets the brigthness of the deck's backlight
设置按钮上的文字大小	Sets the size of the text on the buttons
设置此动作的验证状态。简单、高效，不吵不闹。Boom。	Sets the validation state of this action. Simple, efficient, no buzz no fuzz. Boom.
要绘制的形状	Shape to draw
此项目是否可见	Should this item be visible
信号类型	Signal type
模拟按下 Alt	Simulate alt pressed
模拟按下 Ctrl（Mac 上为 Command）	Simulate ctrl (or command on Mac) pressed
模拟按下 Shift	Simulate shift pressed
列表中的大小	Size in list
文字大小。禁用时自动调整大小	Size of the text. Auto size if disabled
滤镜的平滑量。0 = 无平滑，1 = 最大平滑（值完全不会变化）	Smooth amount of the filter. 0=no smoothing, 1=max smoothing (value will not change at all)
追加到结果的内容	Something appended  to the result
添加到结果前面的内容	Something prepended to the result
吸引力速度。效果取决于吸引力模式	Speed of the attraction. Effects depends on attraction mode
投影机状态	Status of the projector
要替换的字符串	String to replace with
命令的目标	Target for the command
目标参数值	Target parameter value
Reaper 时间线上的目标时间	Target time on the Reaper timeline
要设置的目标时间	Target time to set
要监视的目标	Target to watch
按钮文字	Text for the button
要播放的音频文件	The Audio file to play
通道	The Channel
要用于预设的自定义变量组	The Custom Variable Group to target for presets
要连接的游戏手柄	The Gamepad to connect to
工作区 ID（未定义时留空）	The ID of the workspace (leave empty if not defined)
触发时要执行的动作索引	The Index of the action that will be triggered when
最后触发的动作索引	The Index of the last action triggered
MQTT 代理服务器的主机地址	The MQTT Broker's host address
MQTT 代理服务器端口	The MQTT Broker's port
用于获取值并设置变量的预设	The Preset to get the values from and set the variables to
纹理的 Spout / Syphon 名称	The Spout / Syphon name of the texture
Syphon 应用名称。仅适用于 Mac	The Syphon App Name. Only for Mac
目标图层	The Target layer
日志类型	The Type of log
要使用的宇宙，可在模块参数中创建多个宇宙	The Universe to use, you can create multiple ones in the Module Parameters
要设置此元素的激活/启用状态	The activation / enable state to set this element to.
Alpha 通道	The alpha
滚轮移动量，负值表示向下或向右	The amount to move the wheel, negative for down or right
要添加到命令地址前面的基础地址	The base adress to prepend to command addresses
要设置的亮度	The brightness to set to
要更改的按钮	The button to change
要模拟事件的按钮	The button to simulate the event to
要使用的客户端 ID，必须唯一	The client ID to use. Needs to be unique
背景颜色	The color of the background
二维插值编辑器中手柄的颜色	The color of the handle in a 2D interpolation editor
项目颜色	The color of the item
要设置给按钮的颜色	The color to set the button to
要设置的按钮所在列	The column of the button to set
要启动的命令。每行都是一条新命令	The command to launch.Every line is a new command
注释文字	The comment text
连接速度。常用值为 9600、57600、115200	The connection speed. Common values are 9600, 57600, 115200
字符串形式的当前组合	The current combination in a string representation
当前幻灯片	The current slide
当天的当前时间，精确到秒。\n可用于检查当天的特定时间	The current time in the day, second accurate.\nA convenient way to check a particular time in the day
曲线在当前位置的当前值	The current value of the curve at the current position
要跳转到的仪表板	The dashboard to go to
要发送的数据	The data to send
要设置此触发器的启用状态	The enable state to set this trigger
消息的预期结构，用于决定如何解释消息并从中自动创建值	The expected structure of a message, determining how it should be interpreted to auto create values from it
验证时间大于 0 时的进度反馈	The feedback of the progress if validation time is more than 0
要打开的文件。这将替换当前会话！	The file to open. This will replace this session !
用于保存/加载预设的文件	The file to save/load the preset to/from
要上传的文件	The file to upload
适用时使用的前景色	The foreground color if applicable
字符串格式	The format of the string
MTC 发送的帧率	The framerate at which the MTC is sent
用于解码 LTC 的帧率	The framerate to use to decode LTC
用于发送 LTC 的帧率	The framerate to use to send LTC
接收数据的频率，仅在需要很高频率时更改	The frequency at which to receive data, only change it if you need much high frequency
命令触发时要执行的函数	The function to trigger when the command is triggered
此命令的目标组	The group to target for this command
切换开关图像	The image of the toggle
要设置给按钮的图像	The image to set the button to
要预览的此多路复用器索引（1-N）。改变此值后，映射 UI、检查器、滤镜和输出中显示的参数都会改变。	The index (1-N) of this multiplex to preview. The parameters shown in the mapping UI and inspector, filter and outputs are changed when you changed this value.
要显示的仪表板索引	The index of the dashboard to show
指挥器将触发的下一个提示索引	The index of the next cue that will be triggered by the conductor.
指针当前所在屏幕的索引	The index of the screen the pointer is currently on
两个预设之间用于加权的插值值	The interpolation value to weight between the 2 presets
要按下的按键	The key to hit
曲线长度	The length of the curve
LTC 时间与序列时间允许的最大差值（秒），超过后会跳转	The maximum time difference (in seconds) allowed between the LTC time and the sequence time before a jump is made
要记录的消息	The message to log
要使用的模式	The mode to use
OSCQuery 服务器名称（如果提供）	The name of the OSCQuery server, if provided
触发指挥器时要触发的提示名称	The name of the cue that will be trigger if triggering the conductor
最后触发的提示名称	The name of the last triggered Cue.
用于筛选的窗口名称	The name of the window, used with filter
一小节中的拍数	The number of beats in a bar
此多路复用器每个列表中的项目数	The number of items for each list of this multiplex
请求超时前等待的毫秒数	The number of ms before giving up on a request
背景图像的不透明度	The opacity of the background image
此滤镜使用的操作	The operation to use for this filter
要应用的运算符。如果只想设置值，请保留 = 选项。	The operator to apply. If you simply want to set the value, leave at the = option.
音符的音高	The pitch of the note
服务器绑定的端口	The port that the server binds to
关键帧的位置	The position of the key
要终止的进程名称	The process name to kill
要设置的程序	The program to set
下载进度	The progression of the download
要发送到的投影机 ID；禁用时发送到所有投影机。	The projector id to send to, leave disable to send to all projectors.
发送数据的速率。	The rate at which to send data.
更新鼠标信息的速率	The rate at which to update the mouse informations
用于录制/播放的记录	The record to use for recording/playing
要设置的按钮所在行	The row of button to set
图像的缩放倍数	The scale to multiply the image with
要绘制到的屏幕	The screen to draw to
用于插值的第二个预设	The second preset to use for the interpolation
信号值	The signal value
吸附网格单元的大小	The size of the grid cells to snap to
此回放器的状态	The status of this parrot
用于分隔各个值的字符串	The string that separate each values
此 UI 的样式	The style of this UI
目标仪表板	The target dashboard
此命令使用的应用目标文件	The target file of app for this command
此仪表板项目的目标	The target for this dashboard item
要从中记录值的目标	The target to log the value from
要设置值或触发操作的目标	The target to set the value to or trigger
要修改的目标值	The target value to modify
要设置的目标音量	The target volume to set
文字大小	The text size
要放置的文字	The text to put
要设置给按钮的文字	The text to set the button to
连接保持时间（秒）	The time to keep alive the connection, in seconds
发送和接收时要偏移的时间	The time to offset when sending and receiving
加载此预设时默认使用的时间	The time to use by default when loading this preset
要监视的时间窗口	The time window to watch
幻灯片总数	The total number of slides
要路由的 MIDI 命令类型	The type of MIDI Command to route
接收数据时预期的内容类型	The type of content to expect when receiving data
要解析收到数据的类型。默认让模块根据 Protocol 参数决定	The type of data to parse the received data. Default will let the module decide, depending on its Protocol parameter
要使用的插值类型	The type of interpolation to use
参数类型	The type of parameter
振动类型，选择你喜欢的方式！	The type of vibration, choose your flavor !
通道压力值	The value of the channel pressure
按键值	The value of the key
弯音轮值	The value of the pitchWheel
要记录的值	The value that will be logged
改变范围时重新计算关键帧值的方式。\nAbsolute 表示不做修改。Proportional 表示保持关键帧的相对值。	The way of recaculating the key values when changing the range.\nAbsolute means no modification is done. Proportional means that the relative value of the key will be maintained.
发送布尔参数的方式。\nInt 会发送值为 0 或 1 的“i”参数\nFloat 会发送值为 0.0 或 1.0 的“f”参数\nT-F 会为 True 或 False 发送 T 或 F 参数	The way to send boolean arguments.\nInt will send a 'i' argument with the value to 0 or 1\nFloat will send a 'f' argument with the value to 0.0 or 1.0\nT-F will send T or F arguments for True or False
发送颜色参数的方式。\nColor 会发送带编码颜色的“r”参数。\nRGB Float 会发送 3 个浮点数，RGBA Float 会发送 4 个浮点数。	The way to send color arguments.\nColor will send a 'r' argument with the encoded color.\nRGB Float will send 3 floats and RGBA Float will send 4 floats.
设置频率的方式	The way to set the frequency
要设置的预设权重	The weight of the preset to set
边框厚度	Thickness of the border
轮廓厚度	Thickness of the contour
允许聚焦曲线在当前位置附近的特定部分。	This allow to focus on a specific part of the curve around the position.
允许负偏移	This allows negative offset
转换音高为音符名称时适配其他软件约定。因为 MIDI 很糟糕。	This allows to adjust to other software's conventions when converting Pitch to Note name. Because MIDI sucks.
要发送的数据	This data to send
决定映射输出是在源变化时始终触发，还是仅在滤镜输出值变化时触发。	This decides whether the Mapping Outputs are always triggered on source change, or only when a value's filtered output has changed.
决定映射输出是在滤镜变化时始终触发，还是仅在输入变化时触发。	This decides whether the Mapping Outputs are always triggered when a filter changes, or only when an input has changed.
决定简化录制数据时使用的算法。\nBezier 使用最小二乘方法，适合自然曲线。\nLinear 使用 Douglas-Peucker 方法，最适合直线和线性信号。\nLinear Interactive 允许录制后交互式修改简化结果，而 Linear 会自动应用结果（适合自动录制）。	This decides which algorithm to use when simplifying the recorded data.\nBezier is using the least square approach and is best suited for natural curves.\nLinear is using the Douglas-Peucker method, and works best for straight lines and linear signal.\nLinear Interactive allows you to change the simplification interactively after the recording, where Linear will apply it automatically (useful for automated recording).
如果连接了 BLE 设备，此项为 true。	This is checked if a ble device is connected.
如果连接了串口，此项为 true。	This is checked if a serial port is connected.
如果模块至少连接了一个输入或输出设备，此项为 true	This is checked if the module is connected to at least one input or output device
可以放入请求正文的内容	This is content that you can put in the request body.
定义加载时状态的初始化方式	This is defining how the state is initializing when loading
要从源参数提取的组件	This is the component of the source parameter to extract
要播放的第一个序列索引	This is the index of the first sequence that will play
要播放的最后一个序列索引	This is the index of the last sequence that will play
触发时要播放的序列索引	This is the index of the sequence that will play on trigger
要从服务器端获取的名称	This is the name to retrieve on the server side.
记录播放的时间	This is the time of the record playback
应用于录制数据简化的容差。数值越大，保留的点越多。目前仅适用于 Linear 方法。	This is the tolerance of the simplification to apply to the recorded data. A higher value means more points will remain. Only available for Linear method right now.
映射处理的更新速率。仅在存在 Smooth、Damping 等连续滤镜时使用	This is the update rate at which the mapping is processing. This is used only when continuous filters like Smooth and Damping are presents
启用对此容器的监听	This will activate listening to this container
启用对此容器的同步	This will activate syncing on this container
追加到最终字符串，位于选中的 NL 和 CR 之前	This will be appended to the final string, but before NL and CR if selected
添加到最终字符串前面的内容	This will be prepended to the final string
加载后强制发送一次值	This will force sending values once after loading
每次映射激活时强制发送一次值	This will force sending values once each time the mapping is activated
即使没有连续滤镜，也强制映射持续处理	This will force the mapping to process continuously, even if no continuous filters are present
源数据活动阈值。\n仅当音量大于此参数时才进行分析	Threshold to consider activity from the source.\nAnalysis will compute only if volume is greater than this parameter
每次 Ping 例程之间的时间（秒）。	Time between each ping routine, in seconds.
每次 tick 之间的时间（数值越大，节奏越慢）	Time between each ticks (the greater the value, the lower the tempo)
动画移动到目标预设所需的时间	Time for the animation to go to the target preset
颜色持续时间	Time for the color
值更新的时间间隔（Hz）	Time interval between value updates, in Hz
MTC 发送的时间	Time sent by the MTC.
系统启动后的时间（秒）	Time since the system has been started, in seconds
此应用启动后的时间（秒）	Time since the system this app has started, in seconds
移动到该值所需的时间	Time to go to the value
要跳转到的时间	Time to jump to
相对于小节、等待对等端启动的时间	Time to wait until peer starts, relative to a bar
每次 Ping 例程的超时时间（秒）。	Timeout for each ping routine, in seconds.
要发送到的主题	Topic to send to
要订阅的主题	Topic to subscribe to
总 CPU 使用率（0 到 1）	Total CPU Usage from 0 to 1
总内存使用率（0 到 1）	Total Memory Usage from 0 to 1
重复指定次数以形成一个循环	Type X times to make a cycle
操作系统类型	Type of OS
发送到设备的整数类型，决定此变量发送的字节数	Type of int sent to the device, determine the number of bytes sent for this variable
设备类型	Type of the device
要显示的 IFrame URL	URL of the iFrame to show
要使用的服务 UUID	UUID for service to use
如果设备类型适用，在接收和发送时使用多播	Use Multicast on receive and send if applicable with the device type
对模式使用正则表达式	Use regex for pattern
用于从脚本轻松启用/禁用日志记录的工具参数	Utility parameter to easily activate/deactivate logging from the script
CC 值	Value of the CC
此引脚的值。由于是模拟量，这是归一化值	Value of this pin. Since it's analog, this is the normalized value
此引脚的值。由于是数字量，只能为 HIGH 或 LOW	Value of this pin. Since it's digital, it can only be HIGH or LOW
要分配给路由的值。	Value to assign the routing to.
通过 TCP 发送的值	Value to send via TCP
音符力度，范围为 0 到 127	Velocity of the note, between 0 and 127
Resolume 版本	Version of Resolume
监听器输出音量乘数。会影响所有输入通道和所有选中的输出通道	Volume multiplier for the monitor output. This will affect all the input channels and all the selected output channels
音频输入音量	Volume of the audio input
非自由控制模式下此预设的权重	Weight of this preset in a non-free control mode
枚举中要转换的内容	What to convert in the enum
启用吸引力时，设置变形器更新权重的速率	When attraction is enabled, it sets the rate at which the morpher is updating the weights
节拍器正在 tick 时	When the metronome is ticking
此参数开启时，任何变化的参数都会自动分配给此目标	When this parameter is on, any parameter that changes will be auto assigned to this target
命令将作用于整个合成、指定图层还是片段	Whether the command will target the whole composition, a specific layer or a clip
Web 视图标签页的边框宽度	Width for the border of tabs in the web view
要显示的边框宽度	Width of the border to show
Wiimote 是否已连接？	Wiimote is connected ?
接收器绑定后将处于活动状态	Will be active if receiver is bound
发送器连接后将处于活动状态	Will be active is sender is connected
启用或禁用装饰。禁用此参数可避免更改装饰	Will enable or disable decoration. Disable this parameter to not change it
插入 Nunchuck 时的 X 轴	X axis of the nunchuck if plugged
插入 Nunchuck 时的 Y 轴	Y axis of the nunchuck if plugged
Wiimote 的偏航角。\n必须连接 Motion Plus！	Yaw of the wiimote.\nMotion Plus must be connected !
你可以选择一个序列，以便根据提示自动播放/停止	You can choose a sequence to link for automatic play/stop on cue
投影机显示名称	display name of the projector
固件版本	firmware version
水平或垂直滚轮移动	horizontal or vertical wheel movement
如果勾选，项目会在 UI 中锁定	if checked, item is locked in UI
分布值的循环次数	number of cycles for spreaded values
灯泡运行总小时数	total hours of lamp(s) operation
IP：	IPs :
此表达式将用于填充列表中的每个项目。可以使用通配符 {index} 和 {index0} 替换正在处理项目的索引，也可以修改起始和结束索引以缩小计算范围。	This expression will be used to fill each item in this list. You can use wildcards {index} and {index0} to replace with index of the item that is processed. You can also modify the start and end index for narrowing down the evaluation.
是否按下 Control？	Is Control down ?
效果名称，可以是视图名称（例如“我的效果”）或控制名称（例如“myeffect”）	Name of the effect, either its view name (e.g. "My Effect") or its control name (e.g. "myeffect")
参数名称，可以是视图名称（例如“我的参数”）或控制名称（例如“myparam”）	Name of the parameter, either its view name (e.g. "My Param") or its control name (e.g. "myparam")
协议处理收到数据的方式。\nLines 会在检测到换行时处理消息。\nDirect 会将每次收到的数据视为新数据。\nData255 使用字节 255 作为消息分隔符。\nJSON 会尝试将数据解析为 JSON 对象。\nCOBS 是另一种消息协议。	Protocol for treating the incoming data.\nLines will detect new lines and process messages when it finds one.\nDirect will just consider any incoming data as a new data.\nData255 uses the byte 255 as message split.\nJSON will try to parse the incoming data as a JSON Object.\nCOBS is another messaging protocol.
发送到本地 IP（127.0.0.1）。可在本地和远程 IP 之间快速切换。	Send to Local IP (127.0.0.1). Allow to quickly switch between local and remote IP.
更新函数的调用频率	The Rate at which the "update()" function is called
启用后，可以为目标添加吸引力因素，MainTarget 会自动移动	When enabled, you can add attraction factors to targets and the MainTarget will move automatically
自定义变量组	Add Custom Variable Group
源模块	Source Module
输出模块	Out Module
源值	Source Value
值反馈	Value Feedback
输出参数	Out Parameters
在模块之间开始路由值，请从左侧菜单添加路由器	To start routing values between modules, add a router from the menu on the left
值	Values
URL：	URL :
版本：	Version :
本地：	Local :
来自映射输入	From Mapping Input
索引（0-	Index (0-
索引（1-	Index (1-
列表：	List :
预设：	Presets :
来自多路复用器	From Multiplex
没有可用的 MIDI 输入	No MIDI In Available
未连接：	Disconnected :
没有可用的 MIDI 输出	No MIDI Out Available
未选择 MIDI 输入	No MIDI In Selected
未选择 MIDI 输出	No MIDI Out Selected
选择此滤镜要处理的通道	Choose which channels will be processed by this filter
选择一个模块以编辑其命令模型或创建新模型	Select a Module to edit its command models or create new ones
命令模板：	Command Templates for
此处可以为模块添加自定义命令	Here you can add your own commands for the module
DMX 模式	DMX Mode
不再询问	Don't ask me again
下载 Max 补丁	Download Max Patch
此插件运行所必需的步骤：下载压缩包，解压到任意位置，然后将 OSCControl.amxd 导入 Live 的主轨（也可以导入其他轨道）。	This is necessary to make this plugin run. Just download the zip file, unzip it wherever you want and import the OSCControl.amxd into Live's master track (or any track actually.
单击以浏览其他文件	click to browse for a different file
加载布局	Load Layout
未选择序列	No Sequence selected
提示	Cues
触发器	Triggers
区块管理器	Block Manager
添加序列	Add Sequence
导入音频文件	Import audio files
选择此范围内的项目	Select items in this range
删除此范围内的项目	Remove items in this range
删除时间段	Remove timespan
插入时间段	Insert timespan
添加提示	Add Cue
添加触发器	Add Trigger
清除自动化编辑器	Clear automation editor
编辑包络自动化	Edit enveloppe automation
删除包络自动化	Remove enveloppe automation
添加区块	Add Block
播放/暂停序列	Play/Pause Sequence
上一个提示	Previous cue
下一个提示	Next cue
上一个时间步	Previous time step
下一个时间步	Next time step
跳到开头	Go to start
跳到末尾	Go to end
在当前位置添加提示	Add Cue at position
向后移动一帧	Move one frame after
向前移动一帧	Move one frame before
播放全部	Play All
播放全部序列	Play all sequences
停止全部	Stop All
停止全部序列	Stop all sequences
正在播放序列	Is one sequence playing
如果至少有一个序列正在播放	If at least one sequence is playing
跟随时间	View follow time
如果勾选，时间线会自动跟随当前时间，使光标保持在时间线中央。	If checked, this will automatically follow the current time so the cursor is at the center of the timeline.
循环跳转提示	Loop Jump Cue
如果提示动作设为循环跳转，则决定要跳转到哪个提示	If Cue Action is set to Loop Jump, this will decide which Cue to jump to
从此处播放	Play From Here
从此提示开始播放序列	Play the sequence from this cue
图层高度	UI Height
编辑器中图层的高度	Height of the layer in the editor
锁定全部	Lock All
解锁全部	Unlock All
跳到上一个关键帧	Go to Previous Key
跳到下一个关键帧	Go to Next Key
已触发	Is Triggered
此时间触发器是否已在当前播放过程中触发？	Is this Time Trigger already triggered during this playing ?
淡出	Fade Out
片段末尾的淡出时间	Fade time at end of the clip
序列起始偏移	Sequence Start Offset
序列开始时的偏移	Offset at which the sequence will start
已激活	Is Active
用于判断区块当前是否在时间线中处于活动状态	This is a feedback to know if block is currently active in the timeline
安装	Install
安装或更新此模块	Install or Update this module
卸载	Uninstall
卸载此模块	Uninstall this module
设置全部控制变化	Set All ControlChange
自动将全部设置为控制变化	Auto set all to control change
设置全部音符	Set All Notes
自动将全部设置为音符	Auto set all to notes
自动设置音高	Auto-set pitch
自动将所有音符和控制变化设置为递增音高/编号	Auto set all notes and controlChange to incrementing pitch/number
目标	The Target
自动设置通道	Auto-set channels
自动设置通道	Auto set channels
自动设置宇宙	Auto-set universes
将 DMX 模块的第一个宇宙设置为全部	Set the first universe of the DMX Module to all
如果勾选，将自动把 0-1 的值重新映射到 0-255	If checked, this will automatically remap values from 0-1 to 0-255
如果勾选，将自动把 0-1 的值重新映射到 0-65535	If checked, this will automatically remap values from 0-1 to 0-65535
侧边按钮文本	Text for side button
此点的归一化 -1/1 位置	Normalized -1/1 position of this point
行文本	Text for row
第一个触摸点的相对位置	Relative position of the first touch
窗口大小。禁用后不会修改窗口大小	The window size. Leave disable to not change it
如果启用，则将此图层的音频发送到该通道	If enabled, sends audio from this layer to this channel
此插槽的位置	Position of this slot
要发送的位置	Position to send
偏移值	Value for offset
GPIO 值	Value for GPIO
色相偏移到源值的偏移量	The Hue offset to shift to the source value
饱和度偏移到源值的偏移量	The Saturation offset to shift to the source value
亮度偏移到源值的偏移量	The Brightness offset to shift to the source value
重置	Reset
重置这些值	Reset the values
触发	Trigger
触发此命令	Trigger this command
触发预览	Trigger Preview
这将触发当前预览的多路复用动作，并在预览索引处触发所有真结果	This will trigger the currently previewed action in this multiplex and trigger all the Consequences:TRUE at the previewed index
关闭触发	Trigger Off
这将按条件无效的方式触发，并触发所有假结果	This will trigger as if the conditions have been invalidated, and trigger all the Consequences:FALSE
触发此模板中的命令	Trigger a command from this template
参数 #	Argument #
发送到 0 到 15 之间的宇宙	The Universe to send to, from 0 to 15
如果勾选，表示设备已连接	If checked, the device is connected
优先级	Priority
